Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y
Aangepast sporten,Stichting Prisma,www.stichtingprisma.nl,Diverse locaties,Zwanenburgwal 206,1011JH,Amsterdam,Centrum,ja,41217265,,"4,89876465","52,3683613"
Aangepast sporten,Friendship Sports Centre,www.friendshipsportscentre.nl,Friendship Sports Centre,Beemsterstraat 652,1027ED,Amsterdam,Noord,ja,34152839,,"4,95984695","52,40025203"
Aangepast sporten,Reade,www.reade.nl,Jan van Breemen instituut,Admiraal Helfrichstraat 1,1056AA,Amsterdam,Nieuw-West,ja,,,"4,84440832","52,37074001"
Aangepast sporten,PWA Manege | Vereniging Paardrijden Gehandicapten,www.pwamanege.nl,Prins Willem-Alexander manege,Loosdrechtdreef 9,1108AZ,Amsterdam,Zuidoost,ja,40533448,,"4,99323066","52,31425676"
Aangepast sporten,Terminators,www.amsterdamterminators.nl,Reade sporthal,Overtoom 283,1054HW,Amsterdam,West,ja,40539513,,"4,86684929","52,36037903"
Aangepast sporten,Stichting Paardrijden Gehandicapten Amstelveen,www.spga.nl,SEIN Manege de Cruquiushoeve,Spieringweg 801,2142ED,Cruquius,Buiten Amsterdam,ja,34217276,,"4,65075074","52,33452015"
Aangepast sporten,Only Friends,www.onlyfriends.nl,Sportpark De Weeren,Beemsterstraat 652,1027ED,Amsterdam,Noord,ja,50538063,ja,"4,95984695","52,40025203"
Aerobics,De Bonte Kraai,www.buurthuizenzuidoost.nl,Buurthuis De Bonte Kraaij,Kraaiennest 68,1104CD,Amsterdam,Zuidoost,,,,"4,98006344","52,31724105"
Aerobics,Ontspanningsvereniging Slotervaart (OVS),www.ovs-slotervaart.nl,Huis van de Wijk Het Anker,Jacques Veltmanstraat 427,1065DC,Amsterdam,Nieuw-West,,40533777,,"4,83308527","52,35325129"
Aerobics,Spark United,www.sparkunited.nl/gebruikers/spark-united-buurtsportvereniging,Sportpark De Eendracht,Bok de Korverweg 20,1067HR,Amsterdam,Nieuw-West,,55541542,,"4,78522141","52,37924265"
Aikido,Aikidojo ,www.aikidojo.nl,ABOV,Amstelkade 13,1078AB,Amsterdam,Oost,,55532675, ,"4,90750247","52,34921721"
Aikido,Aikido Centrum Amsterdam,wilkovriesman.blogspot.com,Aikido Centrum Amsterdam,Geleenstraat 34,1078LG,Amsterdam,Zuid,,34145187,ja,"4,89375908","52,3444781"
Aikido,Culturele Aikido Stichting Amsterdam (CASA),www.aikido-info.nl,ASV Gebouw,Bilderdijkpark 10,1052SB,Amsterdam,West,,41210217,,"4,86887575","52,37164057"
Aikido,Movendi,www.movendi.nl,Cornelis Vrijschool,Van de Veldestraat 3,1071CW,Amsterdam,Zuid,,34184249,,"4,87980641","52,35959043"
Aikido,Takemusu Aikido,www.takemusuaikido.nl,Gymzaal Adelaarsweg 113,Adelaarsweg 113,1021BZ,Amsterdam,Noord,,34311332,,"4,92026769","52,38860742"
Aikido,Aikikai Aikido Amsterdam,www.aikido-amsterdam.nl,Gymzaal Heinzestraat 9,Heinzestraat 9,1071SK,Amsterdam,Zuid,,34155590,,"4,87686287","52,35258531"
Aikido,Tenchi Ryu,www.tenchiryu.nl,Gymzaal Wachterliedpaviljoen,Wachterliedplantsoen 1,1055SB,Amsterdam,West,,34367624,,"4,85384756","52,37763867"
Aikido,Aikidoschool Amsterdam,www.aikidoschoolamsterdam.nl,Het Wachterlied paviljoen,Wachterliedplantsoen 1,1055SB,Amsterdam,West,,34367624,ja,"4,85384756","52,37763867"
Aikido,AikiContact,www.aikicontact.nl,Jan van der Heijdenhuis - theaterzaal,Tweede Jan van der Heijdenstraat 75-77,1074XR,Amsterdam,Zuid, ,34341284,,"4,90227598","52,35608052"
Aikido,Aikido Centrum Amsterdam,wilkovriesman.blogspot.com,OBS Vijf Sterren,Markengouw 245A,1024EA,Amsterdam,Noord,,34145187,,"4,95911832","52,39429711"
Aikido,Shinbukan Amsterdam,www.shinbukan.nl,Shinbukan Dojo Amsterdam,Van Ostadestraat 155,1073TK,Amsterdam,Zuid,,34170855,,"4,89569201","52,3528088"
Aikido,Aikikai Aikido Amsterdam,www.aikido-amsterdam.nl,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,34155590,,"4,80713356","52,35443917"
Aikido,Aikido Centrum Amsterdam,wilkovriesman.blogspot.com,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,34145187,,"4,89371511","52,34975372"
Aikido,Sho Shin Aikido dojo Amsterdam,www.shoshinaikido-dojo.nl,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,41212763,ja,"4,89371511","52,34975372"
Aikido,Tenchigowa,www.tenchigowa.nl,Sportcentrum De Pijp,Lizzy Ansinghstraat 88,1072RD,Amsterdam,Zuid,,40534707,,"4,89371511","52,34975372"
Aikido,Shoriniji-kempo,www.shorinjikempo.nl,Sportcentrum Universum (USC),Science Park 306,1098XH,Amsterdam,Oost,,8139319,,"4,95629984","52,35564969"
