date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,6.5,4.2,8.8,,,171,28.5,,1003,
2014-01-02,8.4,6.2,9.7,,,190,26.4,,996.4,
2014-01-03,8.3,5.8,10.8,,,193,33,,999.2,
2014-01-04,7.4,5.8,8.9,,,168,26.4,,999.2,
2014-01-05,5.7,2.3,8.5,,,206,21.3,,1002.7,
2014-01-06,10.4,6,13.9,,,195,33.8,,1000,
2014-01-07,10,9.2,11.3,,,205,32.4,,1007,
2014-01-08,8.3,6.3,9.9,,,211,23,,1013.8,
2014-01-09,9,6.7,11.3,,,225,32.9,,1004.9,
2014-01-10,6.9,4.3,8.7,,,235,24,,1013.6,
2014-01-11,5.6,3.2,7.6,,,246,24.3,,1015.8,
2014-01-12,2.7,-0.8,5.8,,,177,12.9,,1021,
2014-01-13,6.7,3.5,8.6,,,,,,,
2014-01-14,4.7,3,6.4,,,156,15.6,,1004.7,
2014-01-15,4.4,2.9,6.1,,,173,21.3,,,
2014-01-16,7.2,5.5,8.7,,,169,23,,996.9,
2014-01-17,6.9,5.7,8.5,,,175,23.4,,996.3,
2014-01-18,6.8,5.2,8.2,,,140,18.2,,998.5,
2014-01-19,5.6,4.8,6.5,,,121,15.8,,998.3,
2014-01-20,4.2,2.7,5.7,,,,,,1006.1,
2014-01-21,3.5,2.4,4.9,,,,,,1011.5,
2014-01-22,2.9,1.8,3.6,,,161,18.3,,1011.7,
2014-01-23,3.5,2.5,5.4,,,176,15,,1010.9,
2014-01-24,4.6,1.8,6.5,,,235,9.9,,1014.5,
2014-01-25,3.7,2.7,6,,,159,22.7,,1013.6,
2014-01-26,5.3,3.3,6.5,,,236,28.4,,1002.5,
2014-01-27,4.1,2.7,6.4,,,207,24.8,,990.9,
2014-01-28,4.4,2.3,6.2,,,154,27,,994.1,
2014-01-29,0.6,-1.8,3.2,,,92,23.4,,1000.4,
2014-01-30,,,,,,,,,,
2014-01-31,2.1,-3.3,6.1,,,136,14.7,,1005.1,
2014-02-01,6.1,4.7,8.1,,,182,30.9,,994.8,
2014-02-02,4.7,3.2,7.2,,,185,24.5,,1008.3,
2014-02-03,3.8,0.9,7.9,,,130,16.2,,,
2014-02-04,5.8,2.5,8.9,,,161,23.1,,1004.1,
2014-02-05,6.6,4.3,9.4,,,158,33.2,,992.9,
2014-02-06,7.1,5.5,8.8,,,191,32.4,,996.3,
2014-02-07,7.6,5,9.9,,,205,27.6,,989,
2014-02-08,6.7,4.3,9,,,177,31.7,,987.4,
2014-02-09,5.7,4.5,7,,,205,44.7,,987.1,
2014-02-10,4.9,1.6,8.3,,,165,14.3,,994.5,
2014-02-11,5.2,1.6,7.5,,,214,22.8,,998,
2014-02-12,5.2,2.3,8.4,,,195,30.5,,999.6,
2014-02-13,5,2.4,6.9,,,209,25.2,,992.6,
2014-02-14,4.7,1.9,7.9,,,176,26,,998.6,
2014-02-15,9.4,6.5,11.8,,,208,49.1,,990.5,
2014-02-16,6,1.1,8.1,,,234,26.9,,1005.5,
2014-02-17,5.6,1.1,10.2,,,174,14.7,,1011.6,
2014-02-18,6.2,4.2,8.9,,,170,15.1,,,
2014-02-19,7.6,6.2,9.6,,,227,18,,1011,
2014-02-20,7.8,4.8,9.8,,,182,24.6,,1005.7,
2014-02-21,6.8,5.5,8.6,,,223,25.4,,1003.7,
2014-02-22,6.1,3.2,9.6,,,212,22.4,,1009.9,
2014-02-23,7.2,3.7,11.5,,,176,25.4,,1015.9,
2014-02-24,7.7,4.1,12.1,,,162,22.4,,1011.2,
2014-02-25,8,5.6,11.3,,,166,23.1,,1006.2,
2014-02-26,6.3,3.6,10.3,,,197,17,,1013.9,
2014-02-27,4.7,2.7,6.9,,,177,23.6,,1011.1,
2014-02-28,5,1.5,8.2,,,120,14.4,,1002.1,
2014-03-01,5.7,4.7,7.9,,,128,12,,1000.4,
2014-03-02,6,1.4,9.5,,,193,21.9,,999.6,
2014-03-03,5.2,2.2,8.7,,,149,20.3,,989.4,
2014-03-04,5.9,3.5,9.5,,,181,11.3,,1002.4,
2014-03-05,5.9,1.9,11.6,,,232,7.4,,1018.9,
2014-03-06,6.7,1.7,11.9,,,179,13.1,,1026.9,
2014-03-07,7.3,3.8,12,,,204,17.7,,1024.7,
2014-03-08,8.5,0.4,15.2,,,133,16.2,,1029.4,
2014-03-09,11.1,5.9,17.9,,,,17.7,,1025.9,
2014-03-10,9.4,4.8,16.8,,,,14,,1026.3,
2014-03-11,8.3,6.4,12.9,,,47,23.4,,1032.8,
2014-03-12,8.8,3.3,14.8,,,54,12.2,,1032.4,
2014-03-13,8.6,2.5,15.8,,,,,,1029.2,
2014-03-14,5.8,2.2,9.1,,,,12.3,,1026.5,
2014-03-15,9.4,8.2,10.6,,,289,28.5,,1021,
2014-03-16,10.1,8.9,12,,,278,25.7,,1019.2,
2014-03-17,10.1,9.1,11.2,,,271,24,,1019.4,
2014-03-18,9.2,7.6,10.3,,,240,25.5,,1013.9,
2014-03-19,10.2,8,13.2,,,251,32.4,,1019.5,
2014-03-20,12.1,6.1,19.9,,,203,24.8,,1012.3,
2014-03-21,8.1,5.2,11.7,,,244,23,,1006.3,
2014-03-22,6.5,4.3,9.6,,,201,24.8,,1001.1,
2014-03-23,5.5,3.3,8.9,,,238,18,,1004.7,
2014-03-24,5.3,1.2,9.5,,,332,9.8,,1013.1,
2014-03-25,5.7,0.9,10,,,93,14.1,,1012,
2014-03-26,4.6,0,8.6,,,,,,1014.9,
2014-03-27,7.9,2.4,13.3,,,74,18.6,,1014.1,
2014-03-28,10.7,5,16.6,,,79,18.5,,1017,
2014-03-29,11.5,4.6,18.8,,,94,14,,1018.7,
2014-03-30,,,,,,,,,,
2014-03-31,14.4,9.8,19.7,,,88,12.5,,1014.3,
2014-04-01,13.2,9,18.7,,,,,,1010.9,
2014-04-02,12.5,5.9,18.5,,,,,,1007.3,
2014-04-03,14,8.3,21.2,,,51,12.2,,1003.2,
2014-04-04,12.3,11,14.2,,,,,,1007.8,
2014-04-05,12.1,8.9,16.4,,,235,10.7,,1014.4,
2014-04-06,12.7,8.8,15.9,,,197,18,,1015.4,
2014-04-07,14.7,11.3,20.3,,,192,18.3,,1012.3,
2014-04-08,9.6,7.5,12.8,,,262,30.5,,1013.2,
2014-04-09,9.8,5.9,13.3,,,263,21.8,,1023.6,
2014-04-10,11.6,9.8,13.7,,,261,10.5,,1022,
2014-04-11,10.5,6.8,15.2,,,,,,1020.3,
2014-04-12,9.4,2.4,14.2,,,,,,1018.6,
2014-04-13,10,7.5,11.8,,,275,21,,1018.7,
2014-04-14,9.2,6.4,11,,,310,33.3,,1019.1,
2014-04-15,6.7,2.9,10.6,,,351,16.8,,1027.9,
2014-04-16,8.5,2.1,14.5,,,120,9.8,,1029.7,
2014-04-17,10.5,4.8,16.7,,,216,22.7,,1020,
2014-04-18,8.1,6.2,10.7,,,340,20.7,,1016.4,
2014-04-19,9.9,5.8,15,,,44,19.2,,1017.5,
2014-04-20,14.9,10.8,20.9,,,68,25.7,,1008.9,
2014-04-21,12.5,10,15.1,,,67,15.6,,1005.7,
2014-04-22,13.1,8.7,16.8,,,130,12.6,,1009.8,
2014-04-23,13.8,7.8,19.3,,,,,,1018.5,
2014-04-24,13.9,9.1,18.7,,,,8.4,,1018.7,
2014-04-25,16.6,12.7,22.3,,,71,19.7,,1012,
2014-04-26,13.4,10.7,17.2,,,,,,,
2014-04-27,11.7,10.1,14.6,,,,,,1007.4,
2014-04-28,12.6,8.5,15.5,,,60,9.6,,1011,
2014-04-29,13,11.2,14.8,,,,,,1012.5,
2014-04-30,11.5,9.9,15,,,289,9.9,,1011.9,
2014-05-01,12.4,9.6,16.7,,,,10.4,,1011.3,
2014-05-02,10.5,8.2,12.3,,,24,20.6,,1018.8,
2014-05-03,8.5,3.9,11.8,,,356,14.1,,1026.8,
2014-05-04,8.4,3.2,12,,,,,,1024.4,
2014-05-05,12,4.7,17.9,,,134,12.6,,1016.6,
2014-05-06,,,,,,,,,,
2014-05-07,12.9,11.6,14.9,,,,,,,
2014-05-08,12.5,11.5,14.5,,,,,,,
2014-05-09,13,9.6,15.8,,,,,,,
2014-05-10,11.2,7.7,15.1,,,,,,,
2014-05-11,10.8,9.6,12.8,,,,,,,
2014-05-12,11.3,8.3,13.7,,,,,,,
2014-05-13,10.6,7,13.9,,,,,,,
2014-05-14,9.9,6,13.9,,,,,,,
2014-05-15,10.2,3.9,15.1,,,,,,,
2014-05-16,12.3,5.9,18.1,,,,,,,
2014-05-17,14.5,8,20,,,,,,,
2014-05-18,16.5,10.7,21.8,,,,,,,
2014-05-19,18.3,12.1,23.8,,,,,,,
2014-05-20,19.9,16,25.4,,,,,,,
2014-05-21,17.4,13.3,20.8,,,,,,,
2014-05-22,18,15.1,21.8,,,167,20.1,,1005.7,
2014-05-23,16.6,13.3,19.9,,,,,,1008.8,
2014-05-24,15.9,13,19.2,,,151,17.7,,1013,
2014-05-25,15.3,10.6,19.7,,,,11.3,,1019,
2014-05-26,16.1,13.4,21.3,,,40,14.3,,1017.4,
2014-05-27,16,14.9,18,,,,,,1010.9,
